sha256_ret,0000011
patch_handle_0x08_crbus_write_and_sync,0002dfa
FUN_ucode_0002e09,0002e09
FUN_ucode_0002e21,0002e21
FUN_ucode_0002e22,0002e22
FUN_ucode_0003035,0003035
FUN_ucode_0003038,0003038
FUN_ucode_0003044,0003044
FUN_ucode_0003045,0003045
FUN_ucode_0003048,0003048
uret,000304e
FUN_ucode_0003065,0003065
FUN_ucode_00030c4,00030c4
FUN_ucode_000318e,000318e
FUN_ucode_000319a,000319a
uend,0003210
wrmsr_update_ucode_patch,0003276
apply_ucode_patch,000327c
crbus_sync_with_289,00032cd
FUN_ucode_00032f9,00032f9
FUN_ucode_000334d,000334d
FUN_ucode_0003399,0003399
FUN_ucode_0003559,0003559
exit_probe_mode,00035a5
FUN_ucode_000371a,000371a
switchD,00037fa
FUN_ucode_000385d,000385d
FUN_ucode_0003881,0003881
FUN_ucode_00038b2,00038b2
FUN_ucode_00038c2,00038c2
FUN_ucode_0003912,0003912
FUN_ucode_0003916,0003916
FUN_ucode_0003979,0003979
FUN_ucode_00039f5,00039f5
FUN_ucode_0003a1e,0003a1e
enter_probe_mode,0003a41
FUN_ucode_0003ad6,0003ad6
FUN_ucode_0003afc,0003afc
patch_handle_0x05_write_stgbuf,0003bee
FUN_ucode_0003c72,0003c72
FUN_ucode_0003cbc,0003cbc
FUN_ucode_0003d2c,0003d2c
ldat_read_arr6,0003d36
patch_handle_0x10_mailboxes,0003d52
check_cpl_uend3,0003dfa
reset_flow,0004000
case_16,0004052
case_,0004052
case_4,000405a
case_2,000405a
case_2,0004062
case_18,0004062
case_1,000406a
case_17,000406a
case_3,0004072
case_19,0004072
case_21,000407a
case_5,000407a
case_22,0004082
case_6,0004082
thunk_FUN_ucode_0002712,0004084
case_23,000408a
case_7,000408a
case_8,0004092
case_24,0004092
case_9,000409a
case_25,000409a
case_28,00040a2
case_12,00040a2
case_29,00040aa
case_13,00040aa
case_3,00040b2
case_14,00040b2
case_31,00040ba
case_15,00040ba
case_26,00040c2
case_1,00040c2
case_27,00040ca
case_11,00040ca
FUN_ucode_000418e,000418e
case_32,0004392
case_33,000439a
case_34,00043a2
case_35,00043aa
case_36,00043b2
case_37,00043ba
case_38,00043c2
case_39,00043ca
case_4,00043d2
case_41,00043da
case_42,00043e2
case_43,00043ea
case_44,00043f2
FUN_ucode_00043f5,00043f5
case_45,00043fa
case_46,0004402
FUN_ucode_0004406,0004406
case_47,000440a
FUN_ucode_000449d,000449d
probe_mode_force_sgx_eenter_eresume,00044f9
FUN_ucode_0004550,0004550
check_rsa_pub_key_hash,0004644
gen_rc4_key,000465c
FUN_ucode_000474a,000474a
FUN_ucode_0004859,0004859
FUN_ucode_0004bee,0004bee
do_vmexit,0004e81
do_vmexit_ovr_enter_rip,0004e82
enter_probe_mode,0004fd8
FUN_ucode_0004fe4,0004fe4
calc_sha256_start,00050c4
calc_sha256_update,00050da
FUN_ucode_000549d,000549d
calc_fast_sha256_start,000556a
FUN_ucode_0005705,0005705
FUN_ucode_000570a,000570a
FUN_ucode_0005721,0005721
FUN_ucode_0005731,0005731
FUN_ucode_0005741,0005741
FUN_ucode_0005769,0005769
FUN_ucode_0005779,0005779
rsa_signing_error,0005795
FUN_ucode_00057f4,00057f4
gen_key_step,00057fd
FUN_ucode_0005875,0005875
FUN_ucode_0005882,0005882
FUN_ucode_00058c1,00058c1
FUN_ucode_0005918,0005918
FUN_ucode_0005919,0005919
FUN_ucode_0005945,0005945
FUN_ucode_0005955,0005955
FUN_ucode_0005a1a,0005a1a
FUN_ucode_0005a65,0005a65
FUN_ucode_0005aa5,0005aa5
FUN_ucode_0005b34,0005b34
FUN_ucode_0005b49,0005b49
FUN_ucode_0005b86,0005b86
FUN_ucode_0005bb5,0005bb5
probe_mode_force_smm_xlat,0005c01
FUN_ucode_0005c39,0005c39
send_op_data_pcu_mailbox,0005c62
FUN_ucode_0005c66,0005c66
FUN_ucode_0005c7d,0005c7d
FUN_ucode_0005c8d,0005c8d
FUN_ucode_0005c9e,0005c9e
FUN_ucode_0005ca0,0005ca0
FUN_ucode_0005cae,0005cae
FUN_ucode_0005cda,0005cda
FUN_ucode_0005d39,0005d39
FUN_ucode_0005dcc,0005dcc
FUN_ucode_0005dd9,0005dd9
FUN_ucode_0005dea,0005dea
FUN_ucode_0005dfa,0005dfa
FUN_ucode_0005e06,0005e06
FUN_ucode_0005e21,0005e21
FUN_ucode_0005e4e,0005e4e
fit_process_error,0005e68
FUN_ucode_0005e80,0005e80
FUN_ucode_0005ea6,0005ea6
rc4_decrypt,0005ed5
